org.eclipse.e4.ui.model.workbench.source [1.2.0.v20160229-1459]
org.eclipse.e4.ui.services               [1.2.100.v20160506-0759]
org.eclipse.e4.ui.services.source        [1.2.100.v20160506-0759]
org.eclipse.e4.ui.swt.gtk                [1.0.100.v20160301-1001]
org.eclipse.e4.ui.swt.gtk.source         [1.0.100.v20160301-1001]
org.eclipse.e4.ui.tests                  [0.11.0.v20160427-1559]
org.eclipse.e4.ui.tests.css.core         [1.200.0.v20160414-1245]
org.eclipse.e4.ui.tests.css.swt          [0.10.0.v20160525-0806]
org.eclipse.e4.ui.widgets                [1.1.100.v20160506-0759]
org.eclipse.e4.ui.widgets.source         [1.1.100.v20160506-0759]
org.eclipse.e4.ui.workbench              [1.4.0.v20160517-1624]
org.eclipse.e4.ui.workbench.addons.swt   [1.2.100.v20160506-0759, 1.2.100.v20160831-1151, 1.2.101.v20170206-1129]
org.eclipse.e4.ui.workbench.addons.swt.source [1.2.100.v20160506-0759, 1.2.100.v20160831-1151, 1.2.101.v20170206-1129]
org.eclipse.e4.ui.workbench.renderers.swt [0.14.0.v20160525-0940, 0.14.1.v20170117-1415]
org.eclipse.e4.ui.workbench.renderers.swt.cocoa [0.11.300.v20160330-1418]
org.eclipse.e4.ui.workbench.renderers.swt.cocoa.source [0.11.300.v20160330-1418]
org.eclipse.e4.ui.workbench.renderers.swt.source [0.14.0.v20160525-0940, 0.14.1.v20170117-1415]
org.eclipse.e4.ui.workbench.source       [1.4.0.v20160517-1624]
org.eclipse.e4.ui.workbench.swt          [0.14.0.v20160523-1900, 0.14.1.v20160829-0832]
org.eclipse.e4.ui.workbench.swt.source   [0.14.0.v20160523-1900, 0.14.1.v20160829-0832]
org.eclipse.e4.ui.workbench3             [0.13.100.v20160506-0759]
org.eclipse.e4.ui.workbench3.source      [0.13.100.v20160506-0759]
org.eclipse.ecf                          [3.8.0.v20160405-1820]
org.eclipse.ecf.filetransfer             [5.0.0.v20160405-1820]
org.eclipse.ecf.filetransfer.source      [5.0.0.v20160405-1820]
org.eclipse.ecf.identity                 [3.7.0.v20160405-1820]
