assertj-core                             [3.22.0]
org.eclipse.debug.ui.source              [3.16.100.v20220526-0826]
org.eclipse.e4.core.commands             [1.0.100.v20211204-1536]
org.eclipse.e4.core.commands.source      [1.0.100.v20211204-1536]
org.eclipse.e4.core.commands.tests       [0.13.100.v20211010-0529]
org.eclipse.e4.core.contexts             [1.10.0.v20220430-0424]
org.eclipse.e4.core.contexts.source      [1.10.0.v20220430-0424]
org.eclipse.e4.core.di                   [1.8.200.v20220512-1957]
org.eclipse.e4.core.di.annotations       [1.7.100.v20210910-0640]
org.eclipse.e4.core.di.annotations.source [1.7.100.v20210910-0640]
org.eclipse.e4.core.di.extensions        [0.17.100.v20210910-0640]
org.eclipse.e4.core.di.extensions.source [0.17.100.v20210910-0640]
org.eclipse.e4.core.di.extensions.supplier [0.16.300.v20220503-2248]
org.eclipse.e4.core.di.extensions.supplier.source [0.16.300.v20220503-2248]
org.eclipse.e4.core.di.source            [1.8.200.v20220512-1957]
org.eclipse.e4.core.services             [2.3.200.v20220513-1235]
org.eclipse.e4.core.services.source      [2.3.200.v20220513-1235]
org.eclipse.e4.core.tests                [1.2.300.v20211011-1349]
org.eclipse.e4.emf.xpath                 [0.3.0.v20210722-1426]
org.eclipse.e4.emf.xpath.source          [0.3.0.v20210722-1426]
org.eclipse.e4.tools                     [4.9.100.v20211020-1255]
org.eclipse.e4.tools.compat              [4.8.100.v20210102-0921]
org.eclipse.e4.tools.compat.source       [4.8.100.v20210102-0921]
org.eclipse.e4.tools.emf.editor3x        [4.8.100.v20220331-1558]
org.eclipse.e4.tools.emf.editor3x.source [4.8.100.v20220331-1558]
org.eclipse.e4.tools.emf.ui              [4.7.300.v20220420-0901]
org.eclipse.e4.tools.emf.ui.source       [4.7.300.v20220420-0901]
org.eclipse.e4.tools.jdt.templates       [4.9.0.v20210427-1802]
org.eclipse.e4.tools.jdt.templates.source [4.9.0.v20210427-1802]
org.eclipse.e4.tools.services            [4.9.0.v20210427-1802]
org.eclipse.e4.tools.services.source     [4.9.0.v20210427-1802]
org.eclipse.e4.tools.source              [4.9.100.v20211020-1255]
org.eclipse.e4.ui.bindings               [0.13.100.v20210722-1426]
org.eclipse.e4.ui.bindings.source        [0.13.100.v20210722-1426]
org.eclipse.e4.ui.bindings.tests         [0.13.200.v20220506-1520]
org.eclipse.e4.ui.css.core               [0.13.200.v20211022-1402]
org.eclipse.e4.ui.css.core.source        [0.13.200.v20211022-1402]
org.eclipse.e4.ui.css.swt                [0.14.500.v20220511-1639]
org.eclipse.e4.ui.css.swt.source         [0.14.500.v20220511-1639]
org.eclipse.e4.ui.css.swt.theme          [0.13.100.v20220310-1056]
org.eclipse.e4.ui.css.swt.theme.source   [0.13.100.v20220310-1056]
org.eclipse.e4.ui.di                     [1.4.0.v20210621-1133]
org.eclipse.e4.ui.di.source              [1.4.0.v20210621-1133]
org.eclipse.e4.ui.dialogs                [1.3.200.v20211210-1500]
org.eclipse.e4.ui.dialogs.source         [1.3.200.v20211210-1500]
org.eclipse.e4.ui.ide                    [3.16.100.v20220310-1350]
org.eclipse.e4.ui.ide.source             [3.16.100.v20220310-1350]
org.eclipse.e4.ui.model.workbench        [2.2.100.v20220331-0744]
org.eclipse.e4.ui.model.workbench.source [2.2.100.v20220331-0744]
org.eclipse.e4.ui.progress               [0.3.400.v20220502-1259]
org.eclipse.e4.ui.progress.source        [0.3.400.v20220502-1259]
org.eclipse.e4.ui.services               [1.5.0.v20210115-1333]
org.eclipse.e4.ui.services.source        [1.5.0.v20210115-1333]
org.eclipse.e4.ui.swt.gtk                [1.1.100.v20210108-1832]
org.eclipse.e4.ui.swt.gtk.source         [1.1.100.v20210108-1832]
org.eclipse.e4.ui.swt.win32              [1.1.0.v20201119-1132]
org.eclipse.e4.ui.swt.win32.source       [1.1.0.v20201119-1132]
